,season,yr,mnth,hr,weekday,workingday,weathersit,casual,registered,cnt,temp,atemp,hum,windspeed
28,1.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,-0.19212150005968756,-0.12383391200877748,1.6280653082879084,0.09809394577440259
29,1.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,2.0,-0.39986209970109243,-0.3001562678081803,0.7409501754896529,1.040403514602679
30,1.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,1.0,1.0,-0.5037323995217946,-0.3880264847247144,0.6887669323838732,0.09809394577440259
31,1.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,8.0,8.0,-0.5037323995217946,-0.3880264847247144,0.42785071685497417,0.3677117075731151
32,1.0,0.0,1.0,9.0,0.0,0.0,2.0,1.0,19.0,20.0,-0.607602699342497,-0.4764786236075834,0.6887669323838732,0.3677117075731151
33,1.0,0.0,1.0,10.0,0.0,0.0,2.0,7.0,46.0,53.0,-0.7114729991631994,-0.7406711963235203,0.9496831479127722,0.3677117075731151
34,1.0,0.0,1.0,11.0,0.0,0.0,2.0,16.0,54.0,70.0,-0.7114729991631994,-0.829123335206389,0.42785071685497417,0.636427737727016
35,1.0,0.0,1.0,12.0,0.0,0.0,2.0,17.0,73.0,93.0,-0.7114729991631994,-0.829123335206389,0.1669345013260757,1.040403514602679
36,1.0,0.0,1.0,13.0,0.0,0.0,2.0,11.0,64.0,75.0,-0.7114729991631994,-0.7406711963235203,0.1669345013260757,-0.44023984617821105
37,1.0,0.0,1.0,14.0,0.0,0.0,3.0,4.0,55.0,59.0,-0.7114729991631994,-0.7406711963235203,0.6887669323838732,0.09809394577440259
38,1.0,0.0,1.0,15.0,0.0,0.0,3.0,17.0,55.0,74.0,-0.8153432989839016,-0.829123335206389,0.9496831479127722,-0.17062208437949827
39,1.0,0.0,1.0,16.0,0.0,0.0,3.0,9.0,67.0,76.0,-0.8153432989839016,-0.829123335206389,0.42785071685497417,-0.17062208437949827
40,1.0,0.0,1.0,17.0,0.0,0.0,1.0,7.0,58.0,65.0,-0.8153432989839016,-0.829123335206389,-0.30271468662594253,0.09809394577440259
41,1.0,0.0,1.0,18.0,0.0,0.0,2.0,10.0,43.0,53.0,-0.7114729991631994,-0.829123335206389,-0.8767303607895195,1.310021276401392
42,1.0,0.0,1.0,19.0,0.0,0.0,1.0,1.0,29.0,30.0,-0.919213598804604,-1.0933159079223258,-1.0854633332126387,2.3866888603066188
43,1.0,0.0,1.0,20.0,0.0,0.0,1.0,5.0,17.0,22.0,-1.0230838986253064,-1.1817680468051945,-1.242013062529978,1.578737306555293
44,1.0,0.0,1.0,21.0,0.0,0.0,1.0,11.0,20.0,31.0,-1.230824498266711,-1.4459606195211314,-0.9810968470010791,1.310021276401392
45,1.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,9.0,9.0,-1.3346947980874135,-1.5344127584040002,-0.9810968470010791,1.040403514602679
46,1.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,8.0,8.0,-1.438565097908116,-1.4459606195211314,-0.82454711768374,-0.17062208437949827
47,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,-1.438565097908116,-1.6222829753205343,-0.9810968470010791,1.578737306555293
48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,-1.542435397728818,-1.7986053311199375,-0.9810968470010791,2.1170710985079064
49,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.7501759973702227,-1.9749276869193402,-0.82454711768374,1.8483550683540055
50,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,-1.7501759973702227,-1.9749276869193402,-0.82454711768374,0.906045499525729
51,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,30.0,30.0,-1.854046297190925,-2.151250042718743,-0.6679973883664005,1.8483550683540055
52,1.0,0.0,1.0,7.0,1.0,1.0,1.0,1.0,63.0,64.0,-1.854046297190925,-1.9749276869193402,-0.6679973883664005,0.09809394577440259
53,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,153.0,154.0,-1.854046297190925,-2.0633798258022087,-0.6679973883664005,0.906045499525729
54,1.0,0.0,1.0,9.0,1.0,1.0,1.0,7.0,81.0,88.0,-1.7501759973702227,-1.9749276869193402,-1.0332800901068588,1.8483550683540055
55,1.0,0.0,1.0,10.0,1.0,1.0,1.0,11.0,33.0,44.0,-1.6463056975495205,-1.7986053311199375,-1.0332800901068588,0.636427737727016
56,1.0,0.0,1.0,11.0,1.0,1.0,1.0,10.0,41.0,51.0,-1.542435397728818,-1.7107351142034033,-1.189829819424198,1.310021276401392
57,1.0,0.0,1.0,12.0,1.0,1.0,1.0,13.0,48.0,61.0,-1.438565097908116,-1.5344127584040002,-1.450746034953097,1.040403514602679
58,1.0,0.0,1.0,13.0,1.0,1.0,1.0,8.0,53.0,61.0,-1.3346947980874135,-1.5344127584040002,-1.450746034953097,0.906045499525729
59,1.0,0.0,1.0,14.0,1.0,1.0,1.0,11.0,66.0,77.0,-1.230824498266711,-1.3580904026045975,-1.7116622504819958,0.906045499525729
60,1.0,0.0,1.0,15.0,1.0,1.0,1.0,14.0,58.0,72.0,-1.230824498266711,-1.3580904026045975,-1.7116622504819958,0.636427737727016
61,1.0,0.0,1.0,16.0,1.0,1.0,1.0,9.0,67.0,76.0,-1.230824498266711,-1.3580904026045975,-1.7116622504819958,0.636427737727016
62,1.0,0.0,1.0,17.0,1.0,1.0,1.0,11.0,146.0,157.0,-1.3346947980874135,-1.4459606195211314,-1.7116622504819958,0.3677117075731151
63,1.0,0.0,1.0,18.0,1.0,1.0,1.0,9.0,148.0,157.0,-1.3346947980874135,-1.2696382637217287,-1.6072957642704362,-0.708955876332112
64,1.0,0.0,1.0,19.0,1.0,1.0,1.0,8.0,102.0,110.0,-1.542435397728818,-1.2696382637217287,-0.82454711768374,-1.6512654451603888
65,1.0,0.0,1.0,20.0,1.0,1.0,1.0,3.0,49.0,52.0,-1.542435397728818,-1.4459606195211314,-0.82454711768374,-0.708955876332112
66,1.0,0.0,1.0,21.0,1.0,1.0,1.0,3.0,49.0,52.0,-1.6463056975495205,-1.6222829753205343,0.06256801511451611,-0.44023984617821105
67,1.0,0.0,1.0,22.0,1.0,1.0,1.0,0.0,20.0,20.0,-1.854046297190925,-1.887057470002806,0.3234842306434145,-0.44023984617821105
68,1.0,0.0,1.0,23.0,1.0,1.0,1.0,1.0,11.0,12.0,-1.6463056975495205,-1.5344127584040002,-0.40708117283750156,-0.708955876332112
69,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,5.0,5.0,-1.7501759973702227,-1.7107351142034033,-0.40708117283750156,-0.708955876332112
70,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,-1.7501759973702227,-1.7107351142034033,-0.19834820041438292,-0.708955876332112
71,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,-1.854046297190925,-1.887057470002806,0.0103847720087363,-0.44023984617821105
72,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,-1.854046297190925,-1.7107351142034033,0.0103847720087363,-0.8433138914090624
73,1.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,4.0,4.0,-1.9579165970116275,-1.887057470002806,0.2713009875376353,-0.708955876332112
74,1.0,0.0,1.0,6.0,2.0,1.0,1.0,0.0,36.0,36.0,-1.9579165970116275,-1.887057470002806,0.5844004461723136,-0.708955876332112
75,1.0,0.0,1.0,7.0,2.0,1.0,1.0,2.0,92.0,94.0,-1.9579165970116275,-1.887057470002806,0.5844004461723136,-0.44023984617821105
76,1.0,0.0,1.0,8.0,2.0,1.0,1.0,2.0,177.0,179.0,-1.854046297190925,-1.887057470002806,0.3234842306434145,-0.17062208437949827
77,1.0,0.0,1.0,9.0,2.0,1.0,1.0,2.0,98.0,100.0,-1.7501759973702227,-1.887057470002806,0.06256801511451611,0.3677117075731151
78,1.0,0.0,1.0,10.0,2.0,1.0,2.0,5.0,37.0,42.0,-1.7501759973702227,-1.9749276869193402,0.3234842306434145,1.310021276401392
79,1.0,0.0,1.0,11.0,2.0,1.0,1.0,7.0,50.0,57.0,-1.438565097908116,-1.5344127584040002,-0.6158141452606207,1.040403514602679
80,1.0,0.0,1.0,12.0,2.0,1.0,1.0,12.0,66.0,78.0,-1.438565097908116,-1.4459606195211314,-0.6158141452606207,-0.17062208437949827
81,1.0,0.0,1.0,13.0,2.0,1.0,1.0,17.0,79.0,97.0,-1.3346947980874135,-1.4459606195211314,-0.35489792973172174,0.09809394577440259
82,1.0,0.0,1.0,14.0,2.0,1.0,1.0,9.0,54.0,63.0,-1.230824498266711,-1.2696382637217287,-0.5636309021548409,0.3677117075731151
83,1.0,0.0,1.0,15.0,2.0,1.0,1.0,17.0,48.0,65.0,-1.1269541984460085,-1.1817680468051945,-0.5636309021548409,0.636427737727016
84,1.0,0.0,1.0,16.0,2.0,1.0,1.0,15.0,68.0,83.0,-1.0230838986253064,-1.0933159079223258,-0.7201806314721804,0.636427737727016
85,1.0,0.0,1.0,17.0,2.0,1.0,1.0,10.0,202.0,212.0,-1.1269541984460085,-1.1817680468051945,-0.7723638745779602,0.3677117075731151
86,1.0,0.0,1.0,18.0,2.0,1.0,1.0,3.0,179.0,182.0,-1.230824498266711,-1.2696382637217287,-0.7723638745779602,0.09809394577440259
87,1.0,0.0,1.0,19.0,2.0,1.0,1.0,2.0,110.0,112.0,-1.3346947980874135,-1.2696382637217287,-0.7723638745779602,-0.708955876332112
88,1.0,0.0,1.0,20.0,2.0,1.0,1.0,1.0,53.0,54.0,-1.3346947980874135,-1.2696382637217287,-0.7723638745779602,-0.708955876332112
89,1.0,0.0,1.0,21.0,2.0,1.0,1.0,0.0,48.0,48.0,-1.438565097908116,-1.1817680468051945,0.06256801511451611,-1.6512654451603888
90,1.0,0.0,1.0,22.0,2.0,1.0,1.0,1.0,34.0,35.0,-1.438565097908116,-1.2696382637217287,0.06256801511451611,-0.8433138914090624
91,1.0,0.0,1.0,23.0,2.0,1.0,1.0,2.0,9.0,11.0,-1.542435397728818,-1.4459606195211314,0.3234842306434145,-0.8433138914090624
92,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,6.0,6.0,-1.542435397728818,-1.2696382637217287,0.06256801511451611,-1.6512654451603888
93,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,6.0,6.0,-1.7501759973702227,-1.6222829753205343,0.5844004461723136,-0.8433138914090624
94,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,-1.7501759973702227,-1.6222829753205343,0.5844004461723136,-0.8433138914090624
95,1.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0,-1.3346947980874135,-1.4459606195211314,-0.7723638745779602,0.3677117075731151
96,1.0,0.0,1.0,5.0,3.0,1.0,1.0,0.0,3.0,3.0,-1.438565097908116,-1.4459606195211314,-0.82454711768374,-0.17062208437949827
97,1.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,33.0,33.0,-1.542435397728818,-1.6222829753205343,-0.82454711768374,0.3677117075731151
98,1.0,0.0,1.0,7.0,3.0,1.0,1.0,1.0,87.0,88.0,-1.6463056975495205,-1.7107351142034033,-1.0332800901068588,0.09809394577440259
99,1.0,0.0,1.0,8.0,3.0,1.0,1.0,3.0,192.0,195.0,-1.542435397728818,-1.7107351142034033,-1.189829819424198,1.040403514602679
100,1.0,0.0,1.0,9.0,3.0,1.0,1.0,6.0,109.0,115.0,-1.438565097908116,-1.6222829753205343,-1.3463795487415373,1.310021276401392
101,1.0,0.0,1.0,10.0,3.0,1.0,1.0,4.0,53.0,57.0,-1.438565097908116,-1.6222829753205343,-1.3463795487415373,1.310021276401392
102,1.0,0.0,1.0,11.0,3.0,1.0,1.0,12.0,34.0,46.0,-1.230824498266711,-1.4459606195211314,-1.5551125211646564,1.310021276401392
103,1.0,0.0,1.0,12.0,3.0,1.0,1.0,5.0,74.0,79.0,-1.230824498266711,-1.4459606195211314,-1.5551125211646564,1.310021276401392
104,1.0,0.0,1.0,13.0,3.0,1.0,1.0,6.0,65.0,71.0,-1.1269541984460085,-1.2696382637217287,-1.7116622504819958,1.040403514602679
105,1.0,0.0,1.0,14.0,3.0,1.0,1.0,10.0,52.0,62.0,-1.0230838986253064,-1.0933159079223258,-1.816028736693555,0.09809394577440259
106,1.0,0.0,1.0,15.0,3.0,1.0,1.0,7.0,55.0,62.0,-1.0230838986253064,-1.0933159079223258,-1.816028736693555,0.09809394577440259
107,1.0,0.0,1.0,16.0,3.0,1.0,1.0,4.0,85.0,89.0,-1.0230838986253064,-0.9169935521229231,-1.816028736693555,-0.8433138914090624
108,1.0,0.0,1.0,17.0,3.0,1.0,1.0,4.0,186.0,190.0,-1.3346947980874135,-1.4459606195211314,-1.2941963056357577,0.09809394577440259
109,1.0,0.0,1.0,18.0,3.0,1.0,1.0,3.0,166.0,169.0,-1.3346947980874135,-1.3580904026045975,-1.2941963056357577,-0.44023984617821105
110,1.0,0.0,1.0,19.0,3.0,1.0,1.0,5.0,127.0,132.0,-1.3346947980874135,-1.2696382637217287,-1.2941963056357577,-0.708955876332112
111,1.0,0.0,1.0,20.0,3.0,1.0,1.0,7.0,82.0,89.0,-1.438565097908116,-1.4459606195211314,-0.82454711768374,-0.17062208437949827
112,1.0,0.0,1.0,21.0,3.0,1.0,1.0,3.0,40.0,43.0,-1.542435397728818,-1.6222829753205343,-0.6158141452606207,0.09809394577440259
113,1.0,0.0,1.0,22.0,3.0,1.0,1.0,1.0,41.0,42.0,-1.6463056975495205,-1.6222829753205343,-0.40708117283750156,-0.44023984617821105
114,1.0,0.0,1.0,23.0,3.0,1.0,1.0,1.0,18.0,19.0,-1.542435397728818,-1.2696382637217287,-0.82454711768374,-1.6512654451603888
115,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,11.0,11.0,-1.6463056975495205,-1.3580904026045975,-0.40708117283750156,-1.6512654451603888
116,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,4.0,-1.7501759973702227,-1.4459606195211314,0.06256801511451611,-1.6512654451603888
117,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,-1.7501759973702227,-1.4459606195211314,0.06256801511451611,-1.6512654451603888
118,1.0,0.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,-1.7501759973702227,-1.6222829753205343,0.06256801511451611,-0.8433138914090624
119,1.0,0.0,1.0,5.0,4.0,1.0,2.0,0.0,4.0,4.0,-1.854046297190925,-1.7107351142034033,0.3234842306434145,-0.8433138914090624
120,1.0,0.0,1.0,6.0,4.0,1.0,2.0,0.0,36.0,36.0,-1.854046297190925,-1.7986053311199375,0.0103847720087363,-0.708955876332112
121,1.0,0.0,1.0,7.0,4.0,1.0,2.0,0.0,95.0,95.0,-1.7501759973702227,-1.4459606195211314,-0.19834820041438292,-1.6512654451603888
122,1.0,0.0,1.0,8.0,4.0,1.0,1.0,3.0,216.0,219.0,-1.7501759973702227,-1.4459606195211314,-0.19834820041438292,-1.6512654451603888
123,1.0,0.0,1.0,9.0,4.0,1.0,2.0,6.0,116.0,122.0,-1.6463056975495205,-1.3580904026045975,-0.6158141452606207,-1.6512654451603888
124,1.0,0.0,1.0,10.0,4.0,1.0,1.0,3.0,42.0,45.0,-1.542435397728818,-1.2696382637217287,-0.82454711768374,-1.6512654451603888
125,1.0,0.0,1.0,11.0,4.0,1.0,1.0,2.0,57.0,59.0,-1.438565097908116,-1.2696382637217287,-0.9810968470010791,-0.8433138914090624
126,1.0,0.0,1.0,12.0,4.0,1.0,1.0,6.0,78.0,84.0,-1.230824498266711,-1.0933159079223258,-1.450746034953097,-1.6512654451603888
127,1.0,0.0,1.0,13.0,4.0,1.0,1.0,12.0,55.0,67.0,-1.230824498266711,-1.1817680468051945,-1.450746034953097,-0.708955876332112
128,1.0,0.0,1.0,14.0,4.0,1.0,1.0,11.0,59.0,70.0,-1.1269541984460085,-1.1817680468051945,-1.3985627918473171,-0.17062208437949827
129,1.0,0.0,1.0,15.0,4.0,1.0,1.0,8.0,54.0,62.0,-1.1269541984460085,-1.1817680468051945,-1.3985627918473171,-1.6512654451603888
130,1.0,0.0,1.0,16.0,4.0,1.0,1.0,12.0,74.0,86.0,-1.230824498266711,-1.2696382637217287,-1.2941963056357577,-0.17062208437949827
131,1.0,0.0,1.0,17.0,4.0,1.0,1.0,9.0,163.0,172.0,-1.438565097908116,-1.4459606195211314,-0.6158141452606207,-0.17062208437949827
132,1.0,0.0,1.0,18.0,4.0,1.0,1.0,5.0,158.0,163.0,-1.438565097908116,-1.4459606195211314,-0.6158141452606207,-0.44023984617821105
133,1.0,0.0,1.0,19.0,4.0,1.0,1.0,3.0,109.0,112.0,-1.438565097908116,-1.2696382637217287,-0.40708117283750156,-0.8433138914090624
134,1.0,0.0,1.0,20.0,4.0,1.0,1.0,3.0,66.0,69.0,-1.542435397728818,-1.5344127584040002,-0.6158141452606207,-0.17062208437949827
135,1.0,0.0,1.0,21.0,4.0,1.0,2.0,0.0,48.0,48.0,-1.438565097908116,-1.5344127584040002,-0.40708117283750156,0.3677117075731151
136,1.0,0.0,1.0,22.0,4.0,1.0,2.0,1.0,51.0,52.0,-1.438565097908116,-1.5344127584040002,-0.6158141452606207,0.906045499525729
137,1.0,0.0,1.0,23.0,4.0,1.0,2.0,4.0,19.0,23.0,-1.542435397728818,-1.6222829753205343,-0.19834820041438292,0.09809394577440259
138,1.0,0.0,1.0,0.0,5.0,1.0,2.0,4.0,13.0,17.0,-1.542435397728818,-1.6222829753205343,0.06256801511451611,0.09809394577440259
139,1.0,0.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,7.0,-1.542435397728818,-1.6222829753205343,0.3234842306434145,0.3677117075731151
140,1.0,0.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,1.0,-1.542435397728818,-1.6222829753205343,0.3234842306434145,0.3677117075731151
141,1.0,0.0,1.0,4.0,5.0,1.0,2.0,0.0,1.0,1.0,-1.542435397728818,-1.5344127584040002,0.3234842306434145,-0.44023984617821105
142,1.0,0.0,1.0,5.0,5.0,1.0,3.0,0.0,5.0,5.0,-1.438565097908116,-1.1817680468051945,-0.40708117283750156,-1.6512654451603888
143,1.0,0.0,1.0,6.0,5.0,1.0,2.0,8.0,26.0,34.0,-1.542435397728818,-1.2696382637217287,0.3234842306434145,-1.6512654451603888
144,1.0,0.0,1.0,7.0,5.0,1.0,1.0,8.0,76.0,84.0,-1.542435397728818,-1.5344127584040002,0.3234842306434145,-0.44023984617821105
145,1.0,0.0,1.0,8.0,5.0,1.0,1.0,17.0,190.0,210.0,-1.542435397728818,-1.6222829753205343,-0.6158141452606207,0.636427737727016
146,1.0,0.0,1.0,9.0,5.0,1.0,1.0,9.0,125.0,134.0,-1.542435397728818,-1.7107351142034033,-0.82454711768374,1.040403514602679
147,1.0,0.0,1.0,10.0,5.0,1.0,1.0,16.0,47.0,63.0,-1.438565097908116,-1.6222829753205343,-1.3463795487415373,1.310021276401392
148,1.0,0.0,1.0,11.0,5.0,1.0,2.0,17.0,48.0,67.0,-1.542435397728818,-1.6222829753205343,-1.189829819424198,0.3677117075731151
149,1.0,0.0,1.0,12.0,5.0,1.0,2.0,9.0,50.0,59.0,-1.542435397728818,-1.6222829753205343,-1.3463795487415373,0.636427737727016
150,1.0,0.0,1.0,13.0,5.0,1.0,2.0,9.0,64.0,73.0,-1.542435397728818,-1.7107351142034033,-1.3463795487415373,0.906045499525729
151,1.0,0.0,1.0,14.0,5.0,1.0,2.0,7.0,43.0,50.0,-1.542435397728818,-1.6222829753205343,-1.189829819424198,0.636427737727016
152,1.0,0.0,1.0,15.0,5.0,1.0,2.0,9.0,63.0,72.0,-1.542435397728818,-1.5344127584040002,-1.3463795487415373,-0.17062208437949827
153,1.0,0.0,1.0,16.0,5.0,1.0,2.0,5.0,82.0,87.0,-1.542435397728818,-1.5344127584040002,-1.3463795487415373,-0.17062208437949827
154,1.0,0.0,1.0,17.0,5.0,1.0,2.0,9.0,178.0,187.0,-1.542435397728818,-1.2696382637217287,-1.3463795487415373,-1.6512654451603888
155,1.0,0.0,1.0,18.0,5.0,1.0,1.0,7.0,116.0,123.0,-1.542435397728818,-1.4459606195211314,-1.189829819424198,-0.8433138914090624
156,1.0,0.0,1.0,19.0,5.0,1.0,1.0,3.0,92.0,95.0,-1.7501759973702227,-1.6222829753205343,-0.40708117283750156,-0.8433138914090624
157,1.0,0.0,1.0,20.0,5.0,1.0,1.0,1.0,50.0,51.0,-1.6463056975495205,-1.5344127584040002,-0.82454711768374,-0.708955876332112
158,1.0,0.0,1.0,21.0,5.0,1.0,1.0,0.0,39.0,39.0,-1.6463056975495205,-1.6222829753205343,-0.82454711768374,-0.44023984617821105
159,1.0,0.0,1.0,22.0,5.0,1.0,2.0,2.0,34.0,36.0,-1.6463056975495205,-1.6222829753205343,-1.0332800901068588,-0.17062208437949827
160,1.0,0.0,1.0,23.0,5.0,1.0,2.0,1.0,14.0,15.0,-1.6463056975495205,-1.6222829753205343,-0.6158141452606207,-0.17062208437949827
161,1.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,24.0,25.0,-1.6463056975495205,-1.6222829753205343,-0.6158141452606207,-0.17062208437949827
162,1.0,0.0,1.0,1.0,6.0,0.0,2.0,1.0,15.0,16.0,-1.6463056975495205,-1.5344127584040002,-0.40708117283750156,-0.8433138914090624
163,1.0,0.0,1.0,2.0,6.0,0.0,2.0,3.0,13.0,16.0,-1.6463056975495205,-1.3580904026045975,-0.40708117283750156,-1.6512654451603888
164,1.0,0.0,1.0,3.0,6.0,0.0,3.0,0.0,7.0,7.0,-1.6463056975495205,-1.6222829753205343,-0.40708117283750156,-0.17062208437949827
165,1.0,0.0,1.0,4.0,6.0,0.0,3.0,0.0,1.0,1.0,-1.6463056975495205,-1.6222829753205343,-0.40708117283750156,-0.17062208437949827
166,1.0,0.0,1.0,5.0,6.0,0.0,2.0,0.0,5.0,5.0,-1.7501759973702227,-1.7986053311199375,0.5844004461723136,-0.17062208437949827
167,1.0,0.0,1.0,6.0,6.0,0.0,2.0,0.0,2.0,2.0,-1.7501759973702227,-1.7986053311199375,0.5844004461723136,-0.17062208437949827
168,1.0,0.0,1.0,7.0,6.0,0.0,2.0,1.0,8.0,9.0,-1.7501759973702227,-1.7107351142034033,0.5844004461723136,-0.708955876332112
169,1.0,0.0,1.0,8.0,6.0,0.0,3.0,0.0,15.0,15.0,-1.7501759973702227,-1.7107351142034033,1.5758820651821293,-0.708955876332112
170,1.0,0.0,1.0,9.0,6.0,0.0,3.0,0.0,20.0,20.0,-1.7501759973702227,-1.7107351142034033,1.5758820651821293,-0.708955876332112
171,1.0,0.0,1.0,10.0,6.0,0.0,2.0,5.0,56.0,61.0,-1.6463056975495205,-1.6222829753205343,0.8974999048069924,-0.17062208437949827
172,1.0,0.0,1.0,11.0,6.0,0.0,2.0,2.0,60.0,62.0,-1.542435397728818,-1.7107351142034033,0.3234842306434145,1.8483550683540055
